Number,Hymn,Time - As Traditionally Sung + Intro,Popularity
157,"Thy Spirit, Lord, Has Stirred Our Souls",1:39,
158,"Before Thee, Lord, I Bow My Head",4:04,
159,Now the Day Is Over,1:36,
160,Softly Now the Light of Day,0:51,
161,The Lord Be with Us,2:05,
162,"Lord, We Come before Thee Now",2:38,
163,"Lord, Dismiss Us with Thy Blessing",1:40,
164,"Great God, to Thee My Evening Song",2:25,
165,Abide with Me; 'Tis Eventide,3:32,
166,Abide with Me!,2:57,
167,"Come, Let Us Sing an Evening Hymn",2:20,
168,As the Shadows Fall,1:29,
169,As Now We Take the Sacrament,3:01,
170,"God, Our Father, Hear Us Pray",2:21,
171,With Humble Heart,2:44,
172,"In Humility, Our Savior",2:46,
173,While of These Emblems We Partake (SAUL),2:53,
174,While of These Emblems We Partake (AEOLIAN),3:05,
175,"O God, the Eternal Father",4:18,
176,Tis Sweet to Sing the Matchless Love (MEREDITH),2:55,
177,Tis Sweet to Sing the Matchless Love (HANCOCK),3:08,
178,O Lord of Hosts,2:12,
179,"Again, Our Dear Redeeming Lord",2:36,
180,"Father in Heaven, We Do Believe",2:14,
181,"Jesus of Nazareth, Savior and King",2:52,
182,We'll Sing All Hail to Jesus' Name,2:48,
183,In Rememberance of Thy Suffering,3:25,
184,Upon the Cross of Calvary,1:50,
186,Again We Meet around the Board,2:57,
186,Reverently and Meekly Now,5:06,
187,"God Loved Us, So He Sent His Son",1:46,
188,"Thy Will, O Lord, Be Done",2:18,
189,"O Thou, Before the World Began",3:06,
190,In Memory of the Crucified,2:32,
191,Behold the Great Redeemer Die,3:19,
192,He Died! The Great Redeemer Died,3:05,
193,I Stand All Amazed,3:41,
194,There Is a Green Hill Far Away,2:19,
195,How Great the Wisdom and the Love,3:57,
196,"Jesus, Once of Humble Birth",3:33,
197,"O Savior, Thou Who Wearest a Crown",4:16,
198,That Easter Morn,2:22,
199,He Is Risen,1:52,
200,Christ the Lord Is Risen Today,2:24,
201,Joy to the World,2:18,
202,"Oh, Come, All Ye Faithful",2:55,
203,Angels We Have Heard on High,2:57,
204,Silent Night,3:11,
205,Once in Royal David's City,2:19,
206,Away in a Manger,2:34,
